strategy,rep,phase,rel_time,node,task_size,latency_ms
Round Robin,0,post,17.890703916549683,node-c,105904.09700293883,1575.9406089782715
Round Robin,0,post,18.001599073410034,node-a,73826.1294115895,1159.883975982666
Round Robin,0,post,18.0263774394989,node-b,124056.71916176949,305.04727363586426
Round Robin,0,post,18.074387788772583,node-c,100871.6022831039,1672.4369525909424
Round Robin,0,post,18.134040594100952,node-a,301592.237251747,3296.1385250091553
Round Robin,0,post,18.146551847457886,node-b,232564.86933854586,493.7098026275635
Round Robin,0,post,18.348869562149048,node-c,128433.98270627577,1418.4629917144775
Round Robin,0,post,18.386359214782715,node-a,72310.05103264157,1177.9725551605225
Round Robin,0,post,18.39189386367798,node-b,60720.78169627558,445.4634189605713
Round Robin,0,post,18.398971796035767,node-c,192109.05764246316,2082.6807022094727
Round Robin,0,post,18.433306455612183,node-a,120767.39683895807,1914.0598773956299
Round Robin,0,post,18.442336797714233,node-b,134634.4656820574,483.56056213378906
Round Robin,0,post,18.464816331863403,node-c,44265.19707848542,1399.9269008636475
Round Robin,0,post,18.515892505645752,node-a,168377.9211346928,2809.499502182007
Round Robin,0,post,18.518979787826538,node-b,132913.94807788258,545.3622341156006
Round Robin,0,post,18.543936252593994,node-c,60780.94897078499,1703.3753395080566
Round Robin,0,post,18.65246844291687,node-a,83657.35413061963,3485.6457710266113
Round Robin,0,post,18.65685486793518,node-b,120825.86115053196,532.2511196136475
Round Robin,0,post,18.724920511245728,node-c,108714.49587592286,1754.201889038086
Round Robin,0,post,18.728063821792603,node-a,91506.14695675625,3308.2098960876465
Round Robin,0,post,18.91190814971924,node-b,100559.30055404156,373.2926845550537
Round Robin,0,post,18.92941689491272,node-c,93363.7406087149,1847.45454788208
Round Robin,0,post,18.946247339248657,node-a,114293.8768881317,2009.5794200897217
Round Robin,0,post,19.021722555160522,node-b,221016.581757191,570.0688362121582
Round Robin,0,post,19.177393913269043,node-c,29346.184044929425,1474.8303890228271
Round Robin,0,post,19.397433519363403,node-a,94072.57986216802,2638.8401985168457
Round Robin,0,post,19.492587327957153,node-b,115670.76853265135,235.43691635131836
Round Robin,0,post,19.611897468566895,node-c,122791.61573709552,1741.1837577819824
Round Robin,0,post,19.687342643737793,node-a,87929.42043158217,1946.0840225219727
Round Robin,0,post,19.700690746307373,node-b,43997.413651494346,60.636043548583984
Round Robin,0,post,19.780871868133545,node-c,124772.17628429117,1471.8832969665527
Round Robin,0,post,19.792527198791504,node-a,251179.2555724464,3532.7115058898926
Round Robin,0,post,19.860716342926025,node-b,49183.63962856812,52.83474922180176
Round Robin,0,post,19.913551092147827,node-c,163106.8894901856,1754.4300556182861
Round Robin,0,post,19.938225984573364,node-a,89857.86383560265,2398.690938949585
Round Robin,0,post,19.987391710281372,node-b,102701.79243187197,81.83884620666504
Round Robin,0,post,20.049530506134033,node-c,62554.769651689785,1332.4213027954102
Round Robin,0,post,20.065712451934814,node-a,89591.78733784666,1784.3492031097412
Round Robin,0,post,20.094313621520996,node-b,202859.5849861252,350.6183624267578
Round Robin,0,post,20.123656272888184,node-c,141715.1934746172,1954.1501998901367
Round Robin,0,post,20.131254196166992,node-a,251803.12835160416,3393.8963413238525
Round Robin,0,post,20.151376485824585,node-b,190794.64398655645,405.3182601928711
Round Robin,0,post,20.222185134887695,node-c,131898.81587617358,2046.682357788086
Round Robin,0,post,20.304419994354248,node-a,253270.73258678467,3238.361358642578
Round Robin,0,post,20.34479260444641,node-b,131892.64841912512,584.5153331756592
Round Robin,0,post,20.385802507400513,node-c,160210.06032259355,2191.117286682129
Round Robin,0,post,20.413073301315308,node-a,91305.06531968382,2939.796209335327
Round Robin,0,post,20.493701696395874,node-b,109482.49250908113,363.18159103393555
Round Robin,0,post,20.52115488052368,node-c,74722.39385877598,1937.7622604370117
Round Robin,0,post,20.587416648864746,node-a,173692.016381268,3953.812599182129
Round Robin,0,post,20.63166356086731,node-b,58752.86578916378,297.64437675476074
Round Robin,0,post,20.67274236679077,node-c,156595.63568680777,2297.377347946167
Round Robin,0,post,20.870938301086426,node-a,96270.91170428245,3079.8580646514893
Round Robin,0,post,21.019164562225342,node-b,190207.4444604048,225.41189193725586
Round Robin,0,post,21.084970951080322,node-c,154150.01276601243,2075.3486156463623
Round Robin,0,post,21.166996955871582,node-a,263173.8450506407,3957.8230381011963
Round Robin,0,post,21.1771183013916,node-b,152608.9990111855,193.27402114868164
Round Robin,0,post,21.209384202957153,node-c,48253.65686954342,1950.9353637695312
Round Robin,0,post,21.300130605697632,node-a,102413.15348242296,3551.072120666504
Round Robin,0,post,21.3698787689209,node-b,58938.12392103854,76.34091377258301
Round Robin,0,post,21.38590407371521,node-c,81724.33549579767,2066.6940212249756
Round Robin,0,post,21.60012674331665,node-a,225451.7031804779,3847.8033542633057
Round Robin,0,post,21.602646112442017,node-b,145657.59800499957,134.9496841430664
Round Robin,0,post,21.679362058639526,node-c,74666.12647811626,1801.7265796661377
Round Robin,0,post,21.686206340789795,node-a,63792.33611601177,3459.731101989746
Round Robin,0,post,21.855647802352905,node-b,107649.7379166845,85.39319038391113
Round Robin,0,post,21.861558198928833,node-c,57639.70586153421,1705.5659294128418
Round Robin,0,post,21.968464851379395,node-a,75710.85946241648,3871.7544078826904
Round Robin,0,post,21.98136806488037,node-b,123778.84665383915,98.45948219299316
Round Robin,0,post,22.294461488723755,node-c,188697.982517355,2493.584632873535
Round Robin,0,post,22.334394454956055,node-a,143577.14389856783,4502.601623535156
Round Robin,0,post,22.415210962295532,node-b,33678.07352908519,39.196014404296875
Round Robin,0,post,22.48287034034729,node-c,123306.74434019037,2087.1896743774414
Round Robin,0,post,22.52887463569641,node-a,109783.3117037949,4123.824596405029
Round Robin,0,post,22.628446102142334,node-b,130247.5519527538,113.48533630371094
Round Robin,0,post,22.6797194480896,node-c,237601.89988550817,2977.5819778442383
Round Robin,0,post,22.868525981903076,node-a,37745.73934830241,2976.6812324523926
Round Robin,0,post,22.872579336166382,node-b,78802.1302546195,65.39654731750488
Round Robin,0,post,23.24220108985901,node-c,142301.05289339434,2130.319118499756
Round Robin,0,post,23.29944634437561,node-a,48023.69538980222,2947.7381706237793
Round Robin,0,post,23.319763660430908,node-b,221509.6747384614,213.78803253173828
Round Robin,0,post,23.35992693901062,node-c,127315.72806786641,1699.3567943572998
Round Robin,0,post,23.445987939834595,node-a,161706.62484252107,4189.951181411743
Round Robin,0,post,23.514373779296875,node-b,79600.46320734434,81.20107650756836
Round Robin,0,post,23.658506155014038,node-c,159074.64982004507,1524.9319076538086
Round Robin,0,post,23.815277338027954,node-a,180680.00180502253,4109.921932220459
Round Robin,0,post,23.880834579467773,node-b,118977.0661191651,96.14253044128418
Round Robin,0,post,23.98948836326599,node-c,119067.69407321441,1294.5072650909424
Round Robin,0,post,24.035379648208618,node-a,121226.82316879244,3508.573293685913
