strategy,rep,seed,node,task_size,latency_ms,ok
weighted_round_robin,5,105,node-a,150561.20081542467,511.02685928344727,True
weighted_round_robin,5,105,node-b,95631.07086628013,396.49486541748047,True
weighted_round_robin,5,105,node-c,196573.3156080456,396.087646484375,True
weighted_round_robin,5,105,node-a,115468.2706669342,524.5637893676758,True
weighted_round_robin,5,105,node-b,98131.06668353165,417.8316593170166,True
weighted_round_robin,5,105,node-a,52148.87621964856,263.46707344055176,True
weighted_round_robin,5,105,node-c,115698.09541488417,309.67044830322266,True
weighted_round_robin,5,105,node-a,69910.1797374777,413.923978805542,True
weighted_round_robin,5,105,node-b,121577.63309990718,424.471378326416,True
weighted_round_robin,5,105,node-a,36804.289126409494,334.6884250640869,True
weighted_round_robin,5,105,node-c,58384.3689135876,63.38024139404297,True
weighted_round_robin,5,105,node-b,221514.47713435226,478.26266288757324,True
weighted_round_robin,5,105,node-a,254986.23798559018,441.6165351867676,True
weighted_round_robin,5,105,node-a,126620.71888730572,255.21564483642578,True
weighted_round_robin,5,105,node-b,120644.70046222427,284.1343879699707,True
weighted_round_robin,5,105,node-c,32138.110512528605,37.0328426361084,True
weighted_round_robin,5,105,node-a,131082.86803856213,180.0382137298584,True
weighted_round_robin,5,105,node-b,72973.26355405796,173.77161979675293,True
weighted_round_robin,5,105,node-a,33980.03681299803,90.95525741577148,True
weighted_round_robin,5,105,node-c,60678.96537499808,60.526132583618164,True
weighted_round_robin,5,105,node-a,58730.42469474586,51.38707160949707,True
weighted_round_robin,5,105,node-b,141421.30042669908,154.27231788635254,True
weighted_round_robin,5,105,node-a,110960.49147343704,83.63819122314453,True
weighted_round_robin,5,105,node-b,339746.1873482603,536.170482635498,True
weighted_round_robin,5,105,node-c,215301.64293426074,379.7154426574707,True
weighted_round_robin,5,105,node-a,106016.76286039723,121.66023254394531,True
weighted_round_robin,5,105,node-b,135146.67541425323,294.0804958343506,True
weighted_round_robin,5,105,node-a,55162.22761951075,83.56666564941406,True
weighted_round_robin,5,105,node-c,159234.86711433204,539.893627166748,True
weighted_round_robin,5,105,node-a,87458.25473283058,82.1993350982666,True
weighted_round_robin,5,105,node-b,113508.20455629007,219.9850082397461,True
weighted_round_robin,5,105,node-a,124549.82903988526,109.96174812316895,True
weighted_round_robin,5,105,node-c,107865.33134814167,312.8502368927002,True
weighted_round_robin,5,105,node-b,85538.13147371706,147.8877067565918,True
weighted_round_robin,5,105,node-a,153892.5674870876,121.8414306640625,True
weighted_round_robin,5,105,node-a,156170.6345765589,121.55270576477051,True
weighted_round_robin,5,105,node-b,29383.586373138,32.48739242553711,True
weighted_round_robin,5,105,node-c,77582.88772658742,99.72190856933594,True
weighted_round_robin,5,105,node-a,96317.56746008951,116.47653579711914,True
weighted_round_robin,5,105,node-b,78663.49315854236,53.65705490112305,True
weighted_round_robin,5,105,node-a,114792.28413850738,100.9368896484375,True
weighted_round_robin,5,105,node-c,163393.17855052662,188.61746788024902,True
weighted_round_robin,5,105,node-a,113833.13350499007,92.00501441955566,True
weighted_round_robin,5,105,node-b,97884.85675791287,67.75069236755371,True
weighted_round_robin,5,105,node-a,180234.80008686963,129.73809242248535,True
weighted_round_robin,5,105,node-b,129264.36643252919,108.28542709350586,True
weighted_round_robin,5,105,node-c,125013.57983537864,156.25882148742676,True
weighted_round_robin,5,105,node-a,311238.9207767219,283.59079360961914,True
weighted_round_robin,5,105,node-b,189809.11309005888,123.63004684448242,True
weighted_round_robin,5,105,node-a,65884.37136082105,136.43693923950195,True
weighted_round_robin,5,105,node-c,217277.58320755017,278.4273624420166,True
weighted_round_robin,5,105,node-a,75806.78083879316,109.24434661865234,True
weighted_round_robin,5,105,node-b,122482.24669962579,110.34011840820312,True
weighted_round_robin,5,105,node-a,42568.062294324554,45.61185836791992,True
weighted_round_robin,5,105,node-c,181359.9411137612,374.2485046386719,True
weighted_round_robin,5,105,node-b,44666.58622785586,46.29182815551758,True
weighted_round_robin,5,105,node-a,134744.43179946402,150.0380039215088,True
weighted_round_robin,5,105,node-a,312356.66789715586,276.46493911743164,True
weighted_round_robin,5,105,node-b,145372.47978474732,145.737886428833,True
weighted_round_robin,5,105,node-c,107921.85500737157,150.51698684692383,True
weighted_round_robin,5,105,node-a,63094.26549127317,63.51137161254883,True
weighted_round_robin,5,105,node-b,89579.17926325557,91.19153022766113,True
weighted_round_robin,5,105,node-a,163159.53761035108,180.43828010559082,True
weighted_round_robin,5,105,node-c,31453.004049771687,82.27062225341797,True
weighted_round_robin,5,105,node-a,58634.14018882309,127.67457962036133,True
weighted_round_robin,5,105,node-b,190628.3983380601,151.7469882965088,True
weighted_round_robin,5,105,node-a,79587.04346439225,62.671661376953125,True
weighted_round_robin,5,105,node-b,178260.27080501532,152.8158187866211,True
weighted_round_robin,5,105,node-c,138353.48319377654,89.77222442626953,True
weighted_round_robin,5,105,node-a,63093.27046928918,55.77516555786133,True
